"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.275060957E0,-1.966875076E1,-4.331250191E0,-4.590000153E1
2.285060957E0,-2.092500114E1,-3.600000143E0,-4.878750229E1
2.295060957E0,-2.056875038E1,-3.843750238E0,-4.546875000E1
2.305060957E0,-2.148750114E1,-3.337500095E0,-4.576875305E1
2.315060957E0,-2.100000000E1,-2.475000143E0,-4.657500076E1
2.325060957E0,-2.143125153E1,-1.818750024E0,-4.674375153E1
2.335060957E0,-1.946250153E1,-3.225000143E0,-4.640625000E1
2.345060957E0,-2.070000076E1,-3.150000095E0,-4.563750076E1
2.355060957E0,-2.116875076E1,-3.056250095E0,-4.640625000E1
2.365060957E0,-1.871250153E1,-4.125000000E0,-4.501875305E1
2.375060957E0,-2.056875038E1,-3.843750238E0,-4.576875305E1
2.385060957E0,-2.053125000E1,-3.562500238E0,-4.471875000E1
2.395060957E0,-2.096250153E1,-2.475000143E0,-4.460625076E1
2.405060957E0,-2.175000000E1,-3.487500191E0,-4.350000000E1
2.415060957E0,-2.145000076E1,-3.056250095E0,-4.473750305E1
2.425060957E0,-2.120625114E1,-4.293750286E0,-4.605000305E1
2.435060957E0,-2.197500038E1,-4.631250381E0,-4.466250229E1
2.445060957E0,-2.208750153E1,-2.831250191E0,-4.685625076E1
2.455060957E0,-2.182500076E1,-3.787500143E0,-4.726875305E1
2.465060957E0,-1.991250038E1,-2.681250095E0,-4.627500153E1
2.475060957E0,-2.006250000E1,-3.243750095E0,-4.503750229E1
2.485060957E0,-2.101875114E1,-3.731250048E0,-4.561875153E1
2.495060957E0,-2.103750038E1,-3.731250048E0,-4.591875076E1
2.505060957E0,-2.073750114E1,-3.712500095E0,-4.651875305E1
2.515060957E0,-1.993125153E1,-3.112500191E0,-4.625625229E1
2.525060957E0,-2.010000038E1,-4.218750000E0,-4.500000000E1
2.535060957E0,-1.963125038E1,-3.356250048E0,-4.625625229E1
2.545060957E0,-2.055000114E1,-3.281250238E0,-4.638750076E1
2.555060957E0,-2.026875114E1,-4.387500286E0,-4.560000229E1
2.565060957E0,-1.965000153E1,-4.068750381E0,-4.591875076E1
2.575060957E0,-1.978125000E1,-3.243750095E0,-4.670625305E1
2.585060957E0,-2.148750114E1,-3.075000048E0,-4.668750000E1
2.595060957E0,-1.955625153E1,-1.837500095E0,-4.571250153E1
2.605060957E0,-2.006250000E1,-2.981250048E0,-4.550625229E1
2.615060957E0,-2.010000038E1,-3.543750048E0,-4.608750153E1
2.625060957E0,-2.073750114E1,-4.125000000E0,-4.620000076E1
2.635060957E0,-2.118750000E1,-3.881250143E0,-4.606875229E1
2.645060957E0,-2.120625114E1,-3.881250143E0,-4.666875076E1
2.655060957E0,-2.028750038E1,-4.106250286E0,-4.651875305E1
2.665060957E0,-2.101875114E1,-3.450000048E0,-4.593750000E1
2.675060957E0,-2.115000153E1,-3.037500143E0,-4.503750229E1
2.685060957E0,-2.055000114E1,-3.281250238E0,-4.638750076E1
2.695060957E0,-2.000625038E1,-4.368750095E0,-4.786875153E1
2.705060957E0,-2.083125114E1,-2.325000048E0,-4.612500000E1
2.715060957E0,-2.019375038E1,-2.156250000E0,-4.599375153E1
2.725060957E0,-1.978125000E1,-3.243750095E0,-4.610625076E1
2.735060957E0,-2.028750038E1,-4.387500286E0,-4.650000000E1
2.745060957E0,-2.096250153E1,-2.475000143E0,-4.522500229E1
2.755060957E0,-2.135625076E1,-3.750000238E0,-4.621875000E1
2.765060957E0,-2.103750038E1,-3.468750238E0,-4.683750153E1
2.775060957E0,-1.993125153E1,-3.656250238E0,-4.518750000E1
2.785060957E0,-2.148750114E1,-3.356250048E0,-4.638750076E1
2.795060957E0,-2.257500076E1,-3.412500143E0,-4.606875229E1
2.805060957E0,-2.152500153E1,-4.331250191E0,-4.603125000E1
2.815060957E0,-1.980000114E1,-3.525000095E0,-4.638750076E1
2.825060957E0,-2.004375076E1,-2.006250143E0,-4.676250076E1
2.835060957E0,-2.008125114E1,-3.262500048E0,-4.610625076E1
2.845060957E0,-1.980000114E1,-4.200000286E0,-4.576875305E1
2.855060957E0,-2.010000038E1,-4.218750000E0,-4.470000076E1
2.865060957E0,-2.186250114E1,-5.456250191E0,-4.552500153E1
2.875060957E0,-1.950000000E1,-3.768750191E0,-4.638750076E1
2.885060957E0,-2.180625153E1,-4.200000286E0,-4.453125000E1
2.895060957E0,-2.141250038E1,-5.437500000E0,-4.644375229E1
2.905060957E0,-2.098125076E1,-2.212500095E0,-4.659375000E1
2.915060957E0,-2.195625114E1,-3.937500238E0,-4.468125153E1
