"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.817435610E-1,-2.138026757E-3,7.635809598E-4,7.635809598E-4
3.838711140E-1,-9.162971983E-4,-4.581485991E-4,7.635809598E-4
3.859986660E-1,-9.162971983E-4,-1.679878100E-3,7.635809598E-4
3.881262180E-1,-2.138026757E-3,-4.581485991E-4,7.635809598E-4
3.902537700E-1,-2.138026757E-3,-4.581485991E-4,-4.581485991E-4
3.923813740E-1,-2.138026757E-3,7.635809598E-4,7.635809598E-4
3.945089260E-1,-9.162971983E-4,-1.679878100E-3,-4.581485991E-4
3.966364780E-1,-9.162971983E-4,-1.679878100E-3,-1.679878100E-3
3.987640300E-1,-9.162971983E-4,-4.581485991E-4,-1.679878100E-3
4.008915820E-1,-2.138026757E-3,-4.581485991E-4,-4.581485991E-4
4.030191340E-1,-2.138026757E-3,-4.581485991E-4,7.635809598E-4
4.051466860E-1,-2.138026757E-3,-4.581485991E-4,-4.581485991E-4
4.072742910E-1,-3.359756200E-3,7.635809598E-4,7.635809598E-4
4.094018430E-1,-9.162971983E-4,-4.581485991E-4,7.635809598E-4
4.115293950E-1,-2.138026757E-3,7.635809598E-4,7.635809598E-4
4.136569470E-1,-9.162971983E-4,7.635809598E-4,-1.679878100E-3
4.157844990E-1,-2.138026757E-3,7.635809598E-4,7.635809598E-4
4.179120510E-1,-2.138026757E-3,7.635809598E-4,-4.581485991E-4
4.200396550E-1,-3.359756200E-3,-4.581485991E-4,-4.581485991E-4
4.221672070E-1,-2.138026757E-3,-4.581485991E-4,7.635809598E-4
4.242947590E-1,-2.138026757E-3,-1.679878100E-3,-4.581485991E-4
4.264223110E-1,-3.359756200E-3,-1.679878100E-3,7.635809598E-4
4.285498640E-1,-4.581485875E-3,-1.679878100E-3,-4.581485991E-4
4.306774160E-1,-3.359756200E-3,-4.581485991E-4,-4.581485991E-4
4.328050200E-1,-2.138026757E-3,-1.679878100E-3,7.635809598E-4
4.349325720E-1,-3.359756200E-3,-1.679878100E-3,-4.581485991E-4
4.370601240E-1,-2.138026757E-3,-4.581485991E-4,7.635809598E-4
4.391876760E-1,-3.359756200E-3,-4.581485991E-4,7.635809598E-4
4.413152280E-1,-2.138026757E-3,-1.679878100E-3,7.635809598E-4
4.434428320E-1,-3.359756200E-3,7.635809598E-4,1.985310577E-3
4.455703840E-1,-3.359756200E-3,7.635809598E-4,7.635809598E-4
4.476979360E-1,-9.162971983E-4,-4.581485991E-4,-4.581485991E-4
4.498254890E-1,-3.359756200E-3,-4.581485991E-4,-4.581485991E-4
4.519530410E-1,-3.359756200E-3,-4.581485991E-4,1.985310577E-3
4.540805930E-1,-4.581485875E-3,-4.581485991E-4,-4.581485991E-4
4.562081970E-1,-2.138026757E-3,-4.581485991E-4,-4.581485991E-4
4.583357490E-1,-4.581485875E-3,-4.581485991E-4,-4.581485991E-4
4.604633010E-1,-2.138026757E-3,-4.581485991E-4,-1.679878100E-3
4.625908530E-1,-2.138026757E-3,-4.581485991E-4,-4.581485991E-4
4.647184050E-1,-3.359756200E-3,-1.679878100E-3,7.635809598E-4
4.668459570E-1,-3.359756200E-3,-1.679878100E-3,-4.581485991E-4
4.689735610E-1,-3.359756200E-3,-1.679878100E-3,-4.581485991E-4
4.711011140E-1,-2.138026757E-3,7.635809598E-4,-4.581485991E-4
4.732286660E-1,-9.162971983E-4,-4.581485991E-4,-4.581485991E-4
4.753562180E-1,-2.138026757E-3,-4.581485991E-4,7.635809598E-4
4.774837700E-1,-2.138026757E-3,1.985310577E-3,7.635809598E-4
4.796113220E-1,-9.162971983E-4,7.635809598E-4,-4.581485991E-4
4.817389260E-1,-2.138026757E-3,7.635809598E-4,7.635809598E-4
4.838664780E-1,-2.138026757E-3,7.635809598E-4,7.635809598E-4
4.859940300E-1,-9.162971983E-4,-1.679878100E-3,-4.581485991E-4
4.881215820E-1,-3.359756200E-3,-1.679878100E-3,7.635809598E-4
4.902491340E-1,-2.138026757E-3,7.635809598E-4,7.635809598E-4
4.923766860E-1,-2.138026757E-3,-4.581485991E-4,-4.581485991E-4
4.945042910E-1,-9.162971983E-4,-4.581485991E-4,-4.581485991E-4
4.966318430E-1,-3.359756200E-3,-1.679878100E-3,-4.581485991E-4
4.987593950E-1,-3.359756200E-3,-2.901607659E-3,-4.581485991E-4
5.008869470E-1,-9.162971983E-4,-4.581485991E-4,-4.581485991E-4
5.030144990E-1,-2.138026757E-3,-1.679878100E-3,7.635809598E-4
5.051420510E-1,-9.162971983E-4,-4.581485991E-4,-4.581485991E-4
5.072696550E-1,-9.162971983E-4,-4.581485991E-4,7.635809598E-4
5.093972070E-1,-2.138026757E-3,7.635809598E-4,7.635809598E-4
5.115247590E-1,-9.162971983E-4,-4.581485991E-4,7.635809598E-4
5.136523110E-1,-2.138026757E-3,-4.581485991E-4,7.635809598E-4
5.157798640E-1,-2.138026757E-3,-4.581485991E-4,7.635809598E-4
5.179074160E-1,-3.359756200E-3,7.635809598E-4,1.985310577E-3
5.200350200E-1,-2.138026757E-3,-1.679878100E-3,-4.581485991E-4
5.221625720E-1,-2.138026757E-3,-4.581485991E-4,-4.581485991E-4
5.242901240E-1,-9.162971983E-4,7.635809598E-4,7.635809598E-4
